PSC;NAZEV;PLATI_OD;PLATI_DO
252 81;Petrov u Prahy;01.07.2011 00:00:00;
252 82;Kamenný Přívoz;01.07.2011 00:00:00;
253 01;Hostivice;01.07.2011 00:00:00;
254 01;Jílové u Prahy;01.07.2011 00:00:00;
256 01;Benešov u Prahy;01.07.2011 00:00:00;
257 01;Postupice;01.07.2011 00:00:00;
257 03;Jankov;01.07.2011 00:00:00;
257 05;Zvěstov;01.07.2011 00:00:00;
257 06;Louňovice pod Blaníkem;01.07.2011 00:00:00;
257 08;Načeradec;01.07.2011 00:00:00;
257 09;Pravonín;01.07.2011 00:00:00;
257 21;Poříčí nad Sázavou;01.07.2011 00:00:00;
257 22;Čerčany;01.07.2011 00:00:00;
257 23;Přestavlky u Čerčan;01.07.2011 00:00:00;
257 24;Chocerady;01.07.2011 00:00:00;
257 26;Divišov;01.07.2011 00:00:00;
257 28;Chotýšany;01.07.2011 00:00:00;
257 41;Týnec nad Sázavou;01.07.2011 00:00:00;
257 42;Krhanice;01.07.2011 00:00:00;
257 44;Netvořice;01.07.2011 00:00:00;
257 51;Bystřice u Benešova;01.07.2011 00:00:00;
257 52;Olbramovice u Votic;01.07.2011 00:00:00;
257 53;Vrchotovy Janovice;01.07.2011 00:00:00;
257 54;Vojkov;01.07.2011 00:00:00;
257 55;Maršovice;01.07.2011 00:00:00;
257 56;Neveklov;01.07.2011 00:00:00;
257 62;Kladruby u Vlašimi;01.07.2011 00:00:00;
257 63;Trhový Štěpánov;01.07.2011 00:00:00;
257 64;Zdislavice;01.07.2011 00:00:00;
257 65;Čechtice;01.07.2011 00:00:00;
257 66;Křivsoudov;01.07.2011 00:00:00;
257 68;Dolní Kralovice;01.07.2011 00:00:00;
257 71;Soutice;01.07.2011 00:00:00;
257 86;Miličín;01.07.2011 00:00:00;
257 87;Střezimíř;01.07.2011 00:00:00;
257 88;Červený Újezd u Votic;01.07.2011 00:00:00;
257 89;Heřmaničky;01.07.2011 00:00:00;
257 90;Smilkov;01.07.2011 00:00:00;
257 91;Sedlec-Prčice 1;01.07.2011 00:00:00;
257 92;Sedlec-Prčice 2;01.07.2011 00:00:00;
258 01;Vlašim;01.07.2011 00:00:00;
259 01;Votice;01.07.2011 00:00:00;
261 01;Příbram 1;01.07.2011 00:00:00;
262 02;Stará Huť u Dobříše;01.07.2011 00:00:00;
262 03;Nový Knín;01.07.2011 00:00:00;
262 04;Nová Ves pod Pleší;01.07.2011 00:00:00;
262 05;Velká Lečice;01.07.2011 00:00:00;
262 06;Korkyně;01.07.2011 00:00:00;
262 11;Rosovice;01.07.2011 00:00:00;
262 12;Obořiště;01.07.2011 00:00:00;
262 13;Nečín;01.07.2011 00:00:00;
262 14;Hřiměždice;01.07.2011 00:00:00;
262 15;Borotice;01.07.2011 00:00:00;
262 21;Obecnice;01.07.2011 00:00:00;
262 22;Hluboš;01.07.2011 00:00:00;
262 23;Jince;01.07.2011 00:00:00;
262 25;Pičín;01.07.2011 00:00:00;
262 31;Milín;01.07.2011 00:00:00;
262 32;Pečice;01.07.2011 00:00:00;
262 41;Bohutín;01.07.2011 00:00:00;
262 42;Rožmitál pod Třemšínem;01.07.2011 00:00:00;
262 43;Věšín;01.07.2011 00:00:00;
262 44;Hvožďany;01.07.2011 00:00:00;
262 51;Dublovice;01.07.2011 00:00:00;
262 52;Vysoký Chlumec;01.07.2011 00:00:00;
262 55;Petrovice u Sedlčan;01.07.2011 00:00:00;
